nmbr,location,lat,lon,carrington_lo,area,z_class,ll,nn,mag_type,date,pixel_x,pixel_y,crop_filename
0137,S18W85,-18,85,40,150,Dao,4,3,Beta,2002-10-10,975.344429680788,356.1576725420636,20021010_0137.npy
0139,N11W19,11,19,334,570,Dkc,10,31,Beta-Gamma-Delta,2002-10-10,669.0468086882747,555.0803706650821,20021010_0139.npy
0140,S09E13,-9,-13,302,190,Cao,8,10,Beta,2002-10-10,402.6540038616613,383.4724186499471,20021010_0140.npy
0141,S07W36,-7,36,351,10,Dro,4,4,Beta,2002-10-10,798.4920095185789,408.9326584119925,20021010_0141.npy
0142,N04E09,4,-9,306,20,Hsx,1,1,Alpha,2002-10-10,435.1681582129496,492.8412242363668,20021010_0142.npy
0143,S17W60,-17,60,15,60,Dro,6,11,Beta,2002-10-10,917.9302505456542,343.10635869813154,20021010_0143.npy
0144,N12E17,12,-17,298,110,Dao,7,11,Beta,2002-10-10,371.2565787346804,563.0225218287783,20021010_0144.npy
0145,N11E62,11,-62,253,90,Hax,2,1,Alpha,2002-10-10,86.34336556771757,579.5937937693728,20021010_0145.npy
0146,S10E25,-10,-25,290,50,Cao,4,7,Beta,2002-10-10,307.276660752668,378.7860756534043,20021010_0146.npy
0147,S03E39,-3,-39,276,10,Bxo,3,2,Beta,2002-10-10,203.0172198740725,444.2557888220428,20021010_0147.npy
0148,S21E70,-21,-70,245,50,Hax,1,1,Alpha,2002-10-10,81.48978936748688,319.34908937491787,20021010_0148.npy
0149,N16E72,16,-72,243,140,Hax,3,1,Alpha,2002-10-10,63.27333219934718,629.537971141693,20021010_0149.npy
0150,S09W05,-9,5,320,10,Axx,2,2,Alpha,2002-10-10,554.2572105561738,382.3375134666702,20021010_0150.npy
0151,S14E50,-14,-50,265,10,Axx,1,1,Alpha,2002-10-10,146.8047809975737,359.82162355729633,20021010_0151.npy
0139,N11W33,11,33,335,520,Dkc,9,26,Beta-Gamma-Delta,2002-10-11,774.6220782845985,561.092280920698,20021011_0139.npy
0140,S10E00,-10,0,302,200,Cho,9,17,Beta,2002-10-11,511.8497348294872,374.3585290249145,20021011_0140.npy
0142,N04W06,4,6,308,10,Axx,1,1,Alpha,2002-10-11,563.1576269382098,493.0379376602778,20021011_0142.npy
0143,S16W74,-16,74,16,100,Dso,6,12,Beta-Gamma,2002-10-11,964.4917958638374,362.7471469977843,20021011_0143.npy
0144,N12E04,12,-4,298,130,Dai,7,21,Beta,2002-10-11,478.27435441644553,561.4720829906537,20021011_0144.npy
0145,N12E49,12,-49,253,70,Hsx,2,1,Alpha,2002-10-11,149.0359444444419,578.8345947679894,20021011_0145.npy
0146,S10E11,-10,-11,291,40,Dao,5,6,Beta,2002-10-11,419.4084982764346,375.3079707930396,20021011_0146.npy
0147,S03E25,-3,-25,277,10,Bxo,4,3,Beta,2002-10-11,304.25794555248854,437.8754685977409,20021011_0147.npy
0148,S21E57,-21,-57,245,70,Hax,2,2,Alpha,2002-10-11,127.33673176886772,309.3907889583988,20021011_0148.npy
0149,N16E61,16,-61,241,170,Dao,8,7,Beta,2002-10-11,98.91205467806572,621.0148075296961,20021011_0149.npy
0150,S09W19,-9,19,321,20,Axx,2,2,Alpha,2002-10-11,669.9745818403705,385.4931577821896,20021011_0150.npy
0152,N20W16,20,16,318,20,Cao,4,3,Beta,2002-10-11,639.2117860074578,630.8618689943769,20021011_0152.npy
0153,S05E47,-5,-47,255,10,Axx,1,1,Alpha,2002-10-11,153.7833874161229,432.7368494580298,20021011_0153.npy
0154,S12E68,-12,-68,234,50,Hax,2,2,Alpha,2002-10-11,66.69166603132197,390.3033885196029,20021011_0154.npy
0139,N09W46,9,46,335,590,Dki,8,17,Beta-Gamma-Delta,2002-10-12,860.7848703963418,551.8443314564096,20021012_0139.npy
0140,S08W11,-8,11,300,180,Cso,5,4,Beta,2002-10-12,604.6609130938682,392.4073868288879,20021012_0140.npy
0142,N05W17,5,17,306,0,Axx,0,1,Alpha,2002-10-12,654.9997493751773,504.1644752770014,20021012_0142.npy
0144,N12W10,12,10,299,110,Dso,7,12,Beta,2002-10-12,595.2717903106251,562.7060099012596,20021012_0144.npy
0145,N13E36,13,-36,253,70,Hsx,2,1,Alpha,2002-10-12,230.01003555865407,580.0382333159588,20021012_0145.npy
0146,S09W05,-9,5,294,20,Hsx,1,1,Alpha,2002-10-12,554.048306177451,383.33729454333815,20021012_0146.npy
0148,S20E43,-20,-43,246,40,Hsx,2,1,Alpha,2002-10-12,196.70892678520767,308.17924808815764,20021012_0148.npy
0149,N15E48,15,-48,241,220,Dsi,8,12,Beta,2002-10-12,158.84777272988305,603.8871408708209,20021012_0149.npy
0152,N20W29,20,29,318,10,Dro,6,2,Beta,2002-10-12,735.706160037992,635.6017984283275,20021012_0152.npy
0154,S13E55,-13,-55,234,30,Cso,2,2,Beta,2002-10-12,119.60105907685198,372.0967018115946,20021012_0154.npy
0155,S09W53,-9,53,342,30,Cro,3,3,Beta,2002-10-12,899.0227229046177,403.7461388188334,20021012_0155.npy
0156,N09E10,9,-10,279,10,Bxo,3,2,Beta,2002-10-12,427.27872013650654,537.0167280618394,20021012_0156.npy
0139,N08W59,8,59,335,640,Dko,8,12,Beta-Gamma-Delta,2002-10-13,928.750037822115,552.8536360951052,20021013_0139.npy
0140,S08W25,-8,25,301,190,Hsx,3,2,Alpha,2002-10-13,718.0201837000935,396.8275216307478,20021013_0140.npy
0144,N12W24,12,24,300,110,Dso,8,9,Beta,2002-10-13,707.8833759176775,566.8830079026071,20021013_0144.npy
0145,N13E21,13,-21,255,90,Cso,4,3,Beta,2002-10-13,340.2610397493978,574.3453373266016,20021013_0145.npy
0146,S09W18,-9,18,294,0,Axx,0,1,Alpha,2002-10-13,662.3370593927584,386.2031922553335,20021013_0146.npy
0148,S20E31,-20,-31,245,60,Hsx,2,1,Alpha,2002-10-13,274.024747045139,302.3152757475301,20021013_0148.npy
0149,N16E34,16,-34,242,400,Dai,9,12,Beta,2002-10-13,247.61244549969297,604.8699546855689,20021013_0149.npy
0154,S12E44,-12,-44,232,50,Cso,7,3,Beta,2002-10-13,177.9422172396092,373.1646647755096,20021013_0154.npy
0155,S09W66,-9,66,342,40,Cro,3,4,Beta,2002-10-13,954.6431717765296,414.0469247064341,20021013_0155.npy
0156,N09W05,9,5,281,0,Axx,0,1,Alpha,2002-10-13,554.547703653977,537.0443468058079,20021013_0156.npy
0157,N17E49,17,-49,227,10,Hrx,1,2,Alpha,2002-10-13,157.1528620139448,621.6387125769234,20021013_0157.npy
0158,S08E80,-8,-80,196,90,Hsx,4,1,Alpha,2002-10-13,33.33482408707778,434.15120934161394,20021013_0158.npy
0139,N08W72,8,72,335,500,Dko,9,12,Beta-Gamma-Delta,2002-10-14,973.6637292668274,563.3858701988371,20021014_0139.npy
0140,S08W39,-8,39,302,200,Hsx,3,1,Alpha,2002-10-14,817.9582043364451,403.8402054987583,20021014_0140.npy
0144,N11W37,11,37,300,90,Dso,8,4,Beta,2002-10-14,802.071015695752,564.5743846786596,20021014_0144.npy
0145,N12E08,12,-8,255,70,Dso,6,3,Beta,2002-10-14,444.4132836255719,563.6317415126555,20021014_0145.npy
0148,S20E17,-20,-17,246,30,Hsx,2,2,Alpha,2002-10-14,376.23045453099,297.9406444737984,20021014_0148.npy
0149,N16E20,16,-20,243,410,Dhi,10,24,Beta,2002-10-14,349.5883892777635,600.0878627852231,20021014_0149.npy
0154,S11E33,-11,-33,230,60,Dso,10,5,Beta,2002-10-14,248.39254405006915,375.8122264589942,20021014_0154.npy
0156,N09W17,9,17,280,0,Axx,0,1,Alpha,2002-10-14,653.6235518214371,539.6405830860191,20021014_0156.npy
0157,N16E34,16,-34,229,10,Hsx,1,3,Alpha,2002-10-14,246.93573957264152,605.4255609656154,20021014_0157.npy
0158,S09E62,-9,-62,199,120,Hsx,2,1,Alpha,2002-10-14,83.04027191683332,410.9997476607164,20021014_0158.npy
0159,S12E73,-12,-73,190,80,Hsx,2,1,Alpha,2002-10-14,52.304755500306726,394.9299075619113,20021014_0159.npy
0139,N08W85,8,85,334,330,Dko,11,7,Beta-Gamma,2002-10-15,995.184079817861,574.4937808819793,20021015_0139.npy
0140,S08W52,-8,52,301,170,Cso,4,4,Beta,2002-10-15,894.9643169822654,412.35089643664696,20021015_0140.npy
0144,N11W52,11,52,301,100,Cso,4,3,Beta,2002-10-15,891.6672901562351,574.021495444903,20021015_0144.npy
0145,N12W05,12,5,254,90,Cso,3,3,Beta,2002-10-15,553.3087518318154,563.9858729429646,20021015_0145.npy
0148,S20E04,-20,-4,245,30,Hsx,1,1,Alpha,2002-10-15,479.04072675537,296.4503691588868,20021015_0148.npy
0149,N14E06,14,-6,243,440,Ehi,11,31,Beta-Gamma,2002-10-15,461.3578353613533,581.1222858847924,20021015_0149.npy
0154,S12E21,-12,-21,228,40,Eao,11,9,Beta,2002-10-15,338.73159772055214,363.3573373929525,20021015_0154.npy
0157,N15E20,15,-20,229,10,Cro,1,2,Beta,2002-10-15,348.6299574885883,592.2489701670653,20021015_0157.npy
0158,S08E47,-8,-47,202,110,Hsx,2,1,Alpha,2002-10-15,155.12687824365872,409.0337943989192,20021015_0158.npy
0159,S11E57,-11,-57,192,140,Hax,3,1,Alpha,2002-10-15,106.70057591618286,390.8863886307529,20021015_0159.npy
0160,S20E54,-20,-54,195,30,Cro,4,3,Beta,2002-10-15,137.67635297769675,316.0697316409208,20021015_0160.npy
0140,S08W65,-8,65,301,130,Hsx,2,1,Alpha,2002-10-16,952.3649317320276,422.1968621629241,20021016_0140.npy
0144,N11W65,11,65,301,60,Cso,6,2,Beta,2002-10-16,948.5774870628976,583.7054265511483,20021016_0144.npy
0145,N12W18,12,18,254,70,Cso,4,8,Beta,2002-10-16,660.3477629209447,566.7857874350793,20021016_0145.npy
0148,S20W09,-20,9,245,20,Hrx,1,1,Alpha,2002-10-16,583.8422955929836,297.4094757852405,20021016_0148.npy
0149,N14W07,14,7,243,450,Eai,12,31,Beta-Gamma,2002-10-16,569.7130017126888,581.8446220271423,20021016_0149.npy
0154,S12E08,-12,-8,228,30,Cso,11,10,Beta,2002-10-16,444.3925134017334,361.07943498792326,20021016_0154.npy
0158,S08E34,-8,-34,202,120,Cso,8,3,Beta,2002-10-16,238.83258518763893,402.1341134007016,20021016_0158.npy
0159,S11E44,-11,-44,192,160,Hsx,3,1,Alpha,2002-10-16,175.92494096954073,382.5858724275446,20021016_0159.npy
0160,S20E41,-20,-41,195,30,Cso,6,5,Beta,2002-10-16,208.12060161225853,308.4255863148094,20021016_0160.npy
0161,N06E00,6,0,236,20,Cro,3,3,Beta,2002-10-16,511.4553630571973,512.9360752398144,20021016_0161.npy
0140,S08W78,-8,78,301,140,Hax,2,2,Alpha,2002-10-17,986.9462541776531,432.8439242544505,20021017_0140.npy
0144,N11W78,11,78,301,60,Hsx,1,1,Alpha,2002-10-17,982.8652408179572,594.1677511848102,20021017_0144.npy
0145,N12W31,12,31,254,80,Hsx,2,2,Alpha,2002-10-17,759.4277538968543,571.8734474325388,20021017_0145.npy
0148,S20W22,-20,22,245,20,Hsx,1,1,Alpha,2002-10-17,684.654794350425,300.7624211742134,20021017_0148.npy
0149,N14W20,14,20,243,480,Eai,12,33,Beta-Gamma,2002-10-17,674.8011697979167,584.9947177880928,20021017_0149.npy
0154,S12W05,-12,5,228,50,Cso,10,12,Beta,2002-10-17,553.2897344214459,361.375977614278,20021017_0154.npy
0158,S08E21,-8,-21,202,120,Cso,7,4,Beta,2002-10-17,336.4506580768041,397.5440641338749,20021017_0158.npy
0159,S11E31,-11,-31,192,190,Cao,5,5,Beta,2002-10-17,262.3205910594762,376.3392247088873,20021017_0159.npy
0160,S20E28,-20,-28,195,160,Dai,8,17,Beta,2002-10-17,294.0712662112328,302.837292605496,20021017_0160.npy
0161,N06W13,6,13,236,30,Cso,3,5,Beta,2002-10-17,621.5349160437991,514.8400919235083,20021017_0161.npy
0140,S08W91,-8,91,301,40,Hax,2,1,Alpha,2002-10-18,997.2064039229638,443.7119715303886,20021018_0140.npy
0144,N11W91,11,91,301,30,Hsx,2,1,Alpha,2002-10-18,993.0412292032032,604.8408606535309,20021018_0144.npy
0145,N12W44,12,44,254,70,Hsx,2,1,Alpha,2002-10-18,845.9638316214697,578.8950729850317,20021018_0145.npy
0148,S20W35,-20,35,245,20,Hsx,1,1,Alpha,2002-10-18,776.8032821957638,306.2319048773626,20021018_0148.npy
0149,N14W33,14,33,243,400,Eai,13,29,Beta,2002-10-18,771.7438782544232,590.3089965284861,20021018_0149.npy
0154,S12W18,-12,18,228,20,Cso,9,10,Beta,2002-10-18,660.3602248638572,364.1140824662081,20021018_0154.npy
0157,N15W19,15,19,229,10,Cro,3,2,Beta,2002-10-18,666.399103819947,593.8458507353048,20021018_0157.npy
0158,S08E11,-8,-11,199,140,Dao,9,16,Beta-Gamma,2002-10-18,418.2684100743339,395.7904056792098,20021018_0158.npy
0159,S11E18,-11,-18,192,160,Cao,7,8,Beta,2002-10-18,361.91791157204807,372.3414388462058,20021018_0159.npy
0160,S20E15,-20,-15,195,140,Dai,9,18,Beta,2002-10-18,391.5738511528268,299.4666064577947,20021018_0160.npy
0161,N06W26,6,26,236,20,Cso,4,7,Beta,2002-10-18,726.2450419458871,519.0983821738383,20021018_0161.npy
0162,N25E76,25,-76,134,160,Hhx,3,1,Alpha,2002-10-18,79.39473485800488,706.9643364038727,20021018_0162.npy
0145,N12W57,12,57,254,70,Hsx,2,1,Alpha,2002-10-19,915.0885503210118,587.4358548981078,20021019_0145.npy
0148,S20W48,-20,48,245,10,Axx,1,1,Alpha,2002-10-19,855.103072372779,313.48266981797303,20021019_0148.npy
0149,N14W46,14,46,243,380,Dki,9,16,Beta-Gamma,2002-10-19,855.0878494503107,597.4634236380891,20021019_0149.npy
0151,S14W67,-14,67,265,10,Axx,1,1,Alpha,2002-10-19,950.5318376619008,374.5007115489122,20021019_0151.npy
0154,S12W31,-12,31,228,40,Dso,7,7,Beta,2002-10-19,759.5851831346913,369.10626299875736,20021019_0154.npy
0158,S08W02,-8,2,199,140,Dai,8,18,Beta-Gamma,2002-10-19,528.3863525304256,395.5656307935965,20021019_0158.npy
0159,S11E05,-11,-5,192,150,Cao,8,10,Beta,2002-10-19,469.1644821663864,370.7940330793501,20021019_0159.npy
0160,S20E02,-20,-2,195,140,Dai,10,22,Beta,2002-10-19,495.18578811418064,298.47886357993934,20021019_0160.npy
0161,N06W39,6,39,236,10,Bxo,3,2,Beta,2002-10-19,819.6968331417495,525.4410085969427,20021019_0161.npy
0162,N25E71,25,-71,126,700,Fkc,18,8,Beta,2002-10-19,90.1566336071673,703.6797190631347,20021019_0162.npy
0163,S21W10,-21,10,207,10,Bxo,4,4,Beta,2002-10-19,591.2549544943467,291.4136828203987,20021019_0163.npy
0145,N12W72,12,72,255,70,Hsx,2,1,Alpha,2002-10-20,968.793418544796,598.4928325836681,20021020_0145.npy
0148,S21W61,-21,61,244,10,Axx,1,1,Alpha,2002-10-20,912.9977997590104,314.2120081333795,20021020_0148.npy
0149,N14W62,14,62,245,290,Dao,9,14,Beta-Gamma,2002-10-20,932.8877904936598,608.0681765127682,20021020_0149.npy
0154,S14W48,-14,48,231,20,Hsx,1,1,Alpha,2002-10-20,866.3231336526105,361.9207050098188,20021020_0154.npy
0158,S07W18,-7,18,201,120,Dso,6,17,Beta-Gamma,2002-10-20,662.4136011115611,406.8706492670374,20021020_0158.npy
0159,S12W08,-12,8,191,100,Dao,8,8,Beta,2002-10-20,578.2940906920381,363.4737102949234,20021020_0159.npy
0160,S22W12,-22,12,195,110,Eao,11,18,Beta,2002-10-20,606.2120342224279,284.60453466025183,20021020_0160.npy
0162,N26E59,26,-59,124,890,Fki,22,16,Beta-Gamma,2002-10-20,132.18726311451263,704.0262459148973,20021020_0162.npy
0145,N11W85,11,85,255,60,Hsx,1,1,Alpha,2002-10-21,991.8146995353708,600.2164475905323,20021021_0145.npy
0149,N14W75,14,75,245,250,Dso,9,9,Beta-Gamma,2002-10-21,972.1410752139044,617.7105576178835,20021021_0149.npy
0154,S14W62,-14,62,232,10,Axx,1,1,Alpha,2002-10-21,932.784252610671,371.3482756644687,20021021_0154.npy
0158,S07W32,-7,32,202,100,Dso,7,10,Beta,2002-10-21,770.3550035949409,412.2486411136357,20021021_0158.npy
0159,S12W22,-12,22,192,60,Dso,6,6,Beta,2002-10-21,691.7179944721461,366.9801242894509,20021021_0159.npy
0160,S21W26,-21,26,196,130,Eao,13,28,Beta-Gamma,2002-10-21,712.7908436363575,296.3124246895585,20021021_0160.npy
0162,N26E46,26,-46,124,960,Fhi,22,32,Beta-Gamma,2002-10-21,192.63344769274036,697.1516948868891,20021021_0162.npy
0164,N11E54,11,-54,116,20,Axx,1,1,Alpha,2002-10-21,120.06435148240372,577.8913432811372,20021021_0164.npy
0165,N20E71,20,-71,99,180,Hsx,2,1,Alpha,2002-10-21,74.24265166102691,664.3133622656683,20021021_0165.npy
0149,N14W88,14,88,245,80,Dao,7,3,Beta,2002-10-22,987.920396002004,627.6108495968698,20021022_0149.npy
0158,S08W47,-8,47,204,60,Cso,5,4,Beta,2002-10-22,868.020526810137,411.91589873607694,20021022_0158.npy
0159,S13W35,-13,35,192,30,Dso,8,7,Beta,2002-10-22,786.6289615870978,364.194804458495,20021022_0159.npy
0160,S22W40,-22,40,197,80,Eao,13,16,Beta-Gamma,2002-10-22,804.8245484504768,294.80840986442746,20021022_0160.npy
0162,N26E34,26,-34,123,920,Fki,23,32,Beta-Gamma,2002-10-22,263.3194248492864,692.2964013333344,20021022_0162.npy
0164,N11E40,11,-40,117,10,Bxo,4,3,Beta,2002-10-22,200.04476273807808,570.4474319292443,20021022_0164.npy
0165,N21E58,21,-58,99,240,Cao,7,4,Beta,2002-10-22,121.3678575467925,664.1908257360875,20021022_0165.npy
0158,S08W61,-8,61,205,120,Dso,9,7,Beta,2002-10-23,937.773043929671,421.1606922969841,20021023_0158.npy
0159,S15W46,-15,46,190,10,Bxo,2,3,Beta,2002-10-23,853.6413327797861,353.86147156658296,20021023_0159.npy
0160,S20W56,-20,56,200,110,Dao,9,13,Beta-Gamma,2002-10-23,894.9284213034091,319.64159755524247,20021023_0160.npy
0162,N27E22,27,-22,122,1100,Eki,15,34,Beta-Gamma-Delta,2002-10-23,346.4632591158679,697.0480125667186,20021023_0162.npy
0164,N11E25,11,-25,119,10,Bxo,4,3,Beta,2002-10-23,306.3987925642833,564.9178656990126,20021023_0164.npy
0165,N21E46,21,-46,98,260,Cko,10,12,Beta,2002-10-23,180.18215691581676,657.8686640384984,20021023_0165.npy
0158,S08W75,-8,75,206,110,Dao,9,4,Beta,2002-10-24,981.9359106747248,431.33040774439695,20021024_0158.npy
0160,S19W72,-19,72,203,60,Dso,4,5,Beta,2002-10-24,953.7662750641312,338.3995184968905,20021024_0160.npy
0162,N26E10,26,-10,121,1120,Fki,26,41,Beta-Gamma-Delta,2002-10-24,433.8303732132155,687.5156109380105,20021024_0162.npy
0165,N20E31,20,-31,100,230,Cao,5,4,Beta,2002-10-24,272.12671512915006,643.6016990534113,20021024_0165.npy
0166,S06E08,-6,-8,123,0,Axx,0,1,Alpha,2002-10-24,442.4655351924786,416.1957988010536,20021024_0166.npy
0167,N18E75,18,-75,56,60,Hax,1,1,Alpha,2002-10-24,59.23498209367261,651.5561876503581,20021024_0167.npy
0158,S06W88,-6,88,206,80,Dao,8,3,Beta,2002-10-25,1000.0944010499384,458.0394979323392,20021025_0158.npy
0160,S18W83,-18,83,201,10,Bxo,6,4,Beta,2002-10-25,975.6150487868656,354.35782325752155,20021025_0160.npy
0162,N26W04,26,4,122,990,Fkc,27,44,Beta-Gamma-Delta,2002-10-25,541.748968976753,687.7630837180934,20021025_0162.npy
0164,N11E01,11,-1,117,20,Bxo,5,8,Beta,2002-10-25,502.2665781448537,562.3545802853938,20021025_0164.npy
0165,N20E18,20,-18,100,210,Cao,6,6,Beta,2002-10-25,367.422265790994,640.5108702519816,20021025_0165.npy
0167,N17E64,17,-64,54,40,Hsx,2,1,Alpha,2002-10-25,87.73249922913539,636.2945824855781,20021025_0167.npy
0168,N24W66,24,66,184,20,Hrx,1,1,Alpha,2002-10-25,922.237486704684,694.3263643379337,20021025_0168.npy
0169,S19E75,-19,-75,43,110,Dso,4,2,Beta,2002-10-25,61.85474475679837,340.7392824502349,20021025_0169.npy
0162,N26W18,26,18,122,870,Fkc,25,49,Beta-Gamma-Delta,2002-10-26,647.903365353525,690.2691934498416,20021026_0162.npy
0164,N11W13,11,13,117,20,Cro,5,6,Beta,2002-10-26,619.7526917722,564.1972523595698,20021026_0164.npy
0165,N20E05,20,-5,100,210,Cao,6,10,Beta,2002-10-26,470.2357000929815,639.4952097707728,20021026_0165.npy
0167,N17E50,17,-50,54,40,Hax,2,1,Alpha,2002-10-26,149.6538846425576,628.5323991006333,20021026_0167.npy
0168,N24W80,24,80,184,20,Hsx,1,1,Alpha,2002-10-26,954.1095901683018,703.4893463687426,20021026_0168.npy
0169,S19E59,-19,-59,43,90,Dao,5,2,Beta,2002-10-26,111.68250489180548,330.447667373935,20021026_0169.npy
0170,S12E65,-12,-65,39,30,Hsx,1,1,Alpha,2002-10-26,74.4057466117199,391.361803223046,20021026_0170.npy
0171,N10E76,10,-76,28,60,Hax,2,1,Alpha,2002-10-26,40.8483317313528,585.9852695099278,20021026_0171.npy
0162,N26W27,26,27,118,920,Fkc,27,64,Beta-Gamma,2002-10-27,712.2605552825468,693.19869279358,20021027_0162.npy
0165,N21W09,21,9,100,150,Dao,4,8,Beta,2002-10-27,582.8253957045824,648.8926495832039,20021027_0165.npy
0167,N18E36,18,-36,55,40,Cso,3,2,Beta,2002-10-27,234.8278435582406,630.9005078599696,20021027_0167.npy
0169,S19E47,-19,-47,44,100,Dso,4,2,Beta,2002-10-27,169.81367806284527,324.0675023318821,20021027_0169.npy
0170,S12E53,-12,-53,38,30,Cso,5,6,Beta,2002-10-27,125.71268471007198,384.2620214901968,20021027_0170.npy
0171,N10E64,10,-64,27,60,Hsx,2,1,Alpha,2002-10-27,74.83729564279992,578.2403915336487,20021027_0171.npy
0162,N26W43,26,43,121,680,Fkc,24,39,Beta-Gamma-Delta,2002-10-28,813.3800622213232,699.6139623393505,20021028_0162.npy
0165,N21W22,21,22,100,150,Cao,4,4,Beta,2002-10-28,683.4212952725829,651.9402535313259,20021028_0165.npy
0167,N18E24,18,-24,54,20,Hsx,1,1,Alpha,2002-10-28,319.5365715249666,627.5650425885522,20021028_0167.npy
0169,S18E33,-18,-33,45,50,Dso,3,2,Beta,2002-10-28,254.95745354075095,326.29487034521844,20021028_0169.npy
0170,S12E38,-12,-38,40,30,Cso,3,2,Beta,2002-10-28,213.42271794157372,377.1555358426946,20021028_0170.npy
0171,N11E52,11,-52,26,60,Hsx,2,1,Alpha,2002-10-28,129.23447242365376,580.0782740142929,20021028_0171.npy
0172,S16E56,-16,-56,22,30,Hsx,2,1,Alpha,2002-10-28,117.95207053228546,353.5214331446657,20021028_0172.npy
0162,N25W59,25,59,124,840,Fkc,22,39,Beta-Gamma-Delta,2002-10-29,894.1267415687778,699.8897564957815,20021029_0162.npy
0165,N21W34,21,34,99,130,Hax,3,2,Alpha,2002-10-29,768.5120832999667,656.2899333735596,20021029_0165.npy
0167,N17E10,17,-10,55,40,Hsx,1,2,Alpha,2002-10-29,428.3991754790324,617.2384221745201,20021029_0167.npy
0169,S20E21,-20,-21,44,50,Dao,7,9,Beta,2002-10-29,344.1779463878512,307.3753216350728,20021029_0169.npy
0170,S12E24,-12,-24,41,30,Cao,3,3,Beta,2002-10-29,313.9541819403686,372.750550409099,20021029_0170.npy
0171,N10E39,10,-39,26,70,Hax,2,3,Alpha,2002-10-29,204.57533012492485,565.7767944234369,20021029_0171.npy
0172,S17E44,-17,-44,21,20,Hsx,1,2,Alpha,2002-10-29,182.83106810985012,339.5588111749624,20021029_0172.npy
0173,S17W69,-17,69,134,50,Cso,5,3,Beta,2002-10-29,951.05150391914,353.45517350991463,20021029_0173.npy
0162,N26W73,26,73,125,600,Fki,21,23,Beta-Gamma,2002-10-30,934.8500856153076,715.8443731660981,20021030_0162.npy
0165,N20W47,20,47,99,100,Cao,3,3,Beta,2002-10-30,850.1365471617744,654.0294196750561,20021030_0165.npy
0167,N17W03,17,3,55,60,Cso,4,7,Beta,2002-10-30,535.2322641504901,617.5344315640923,20021030_0167.npy
0169,S20E07,-20,-7,45,60,Dao,7,9,Beta,2002-10-30,453.9029034270559,305.7919000341176,20021030_0169.npy
0170,S12E10,-12,-10,42,10,Axx,0,1,Alpha,2002-10-30,426.5032209083676,370.6537211083937,20021030_0170.npy
0171,N11E25,11,-25,27,70,Hax,2,2,Alpha,2002-10-30,305.4977375445809,570.0460958410883,20021030_0171.npy
0172,S16E30,-16,-30,22,10,Axx,1,1,Alpha,2002-10-30,273.1516716797639,342.5261893236259,20021030_0172.npy
0173,S18W82,-18,82,134,100,Cso,5,4,Beta,2002-10-30,975.1252511338516,353.8476167675506,20021030_0173.npy
0174,S25E55,-25,-55,357,70,Cao,3,2,Beta,2002-10-30,144.71203384777613,282.72573001429515,20021030_0174.npy
0175,N15E57,15,-57,355,50,Cso,6,5,Beta,2002-10-30,111.19982819259496,617.6228134128866,20021030_0175.npy
0176,N12E75,12,-75,337,90,Hsx,2,1,Alpha,2002-10-30,45.61831927614645,603.1234086775248,20021030_0176.npy
0162,N25W84,25,84,122,680,Fki,24,20,Beta-Gamma,2002-10-31,955.4613591354114,714.6271681507452,20021031_0162.npy
0165,N20W60,20,60,98,100,Cao,4,5,Beta,2002-10-31,912.6704394269173,661.0151446815152,20021031_0165.npy
0167,N16W17,16,17,55,50,Cso,4,4,Beta,2002-10-31,649.6347247485568,611.4488569909208,20021031_0167.npy
0169,S20W05,-20,5,43,60,Dso,7,7,Beta,2002-10-31,551.1370754705365,306.3406204934154,20021031_0169.npy
0170,S12W03,-12,3,41,10,Cso,3,4,Beta,2002-10-31,535.9210625525359,370.85884373517774,20021031_0170.npy
0171,N11E12,11,-12,26,50,Hax,2,2,Alpha,2002-10-31,409.6841789647422,568.1082030885285,20021031_0171.npy
0172,S16E16,-16,-16,22,20,Hrx,1,1,Alpha,2002-10-31,379.6617165834568,339.55790019696667,20021031_0172.npy
0173,S15W92,-15,92,130,30,Dao,4,2,Beta,2002-10-31,986.7029055069188,384.9614744491855,20021031_0173.npy
0174,S24E42,-24,-42,356,80,Cso,7,5,Beta,2002-10-31,209.04860150801693,284.61505425604025,20021031_0174.npy
0175,N16E44,16,-44,354,120,Dao,7,10,Beta,2002-10-31,181.05059213438847,620.1170065697306,20021031_0175.npy
0176,N12E64,12,-64,334,130,Hax,2,1,Alpha,2002-10-31,77.43575811784717,596.710617494023,20021031_0176.npy
0177,N16E69,16,-69,329,60,Hsx,2,1,Alpha,2002-10-31,68.67472517375484,633.1947790013202,20021031_0177.npy
0162,N26W88,26,88,113,200,Hax,7,2,Beta,2002-11-01,953.8266530331456,724.7920982627311,20021101_0162.npy
0165,N19W74,19,74,99,80,Hsx,2,1,Alpha,2002-11-01,959.2585930811906,661.0037967601427,20021101_0165.npy
0167,N16W30,16,30,55,30,Cso,3,2,Beta,2002-11-01,748.037146316293,615.4470396433665,20021101_0167.npy
0169,S19W20,-19,20,45,30,Dso,4,3,Beta,2002-11-01,670.2356273672439,316.9748443195283,20021101_0169.npy
0171,N10W01,10,1,26,40,Hsx,1,1,Alpha,2002-11-01,518.7326423040205,559.5532169959774,20021101_0171.npy
0174,S25E32,-25,-32,353,60,Cso,10,6,Beta,2002-11-01,273.1847480835149,273.8320964138107,20021101_0174.npy
